track,note,volume,start,duration
2,62,72,25200,240
3,46,72,25200,120
3,46,72,25320,120
1,81,72,25440,480
2,57,72,25440,240
3,46,72,25440,120
3,38,72,25440,120
3,46,72,25560,120
2,62,72,25680,240
3,46,72,25680,120
3,46,72,25800,120
1,79,72,25920,480
2,65,72,25920,240
3,46,72,25920,120
3,35,72,25920,120
3,46,72,26040,120
2,62,72,26160,240
3,46,72,26160,120
3,46,72,26280,120
1,77,72,26400,480
2,57,72,26400,240
3,46,72,26400,120
3,38,72,26400,120
3,46,72,26520,120
2,62,72,26640,240
3,46,72,26640,120
3,46,72,26760,120
2,65,72,26880,240
3,46,72,26880,120
3,35,72,26880,120
3,46,72,27000,120
2,60,72,27120,240
3,46,72,27120,120
3,46,72,27240,120
1,81,72,27360,480
2,57,72,27360,240
3,46,72,27360,120
3,38,72,27360,120
3,46,72,27480,120
2,60,72,27600,240
3,46,72,27600,120
3,46,72,27720,120
1,81,72,27840,480
2,65,72,27840,240
3,46,72,27840,120
3,35,72,27840,120
3,46,72,27960,120
2,60,72,28080,240
3,46,72,28080,120
3,46,72,28200,120
1,81,72,28320,480
2,57,72,28320,240
3,46,72,28320,120
3,38,72,28320,120
3,46,72,28440,120
2,60,72,28560,240
3,46,72,28560,120
3,46,72,28680,120
1,79,72,28800,480
2,65,72,28800,240
3,46,72,28800,120
3,35,72,28800,120
3,46,72,28920,120
2,60,72,29040,240
3,46,72,29040,120
3,46,72,29160,120
1,81,72,29280,480
2,57,72,29280,240
3,46,72,29280,120
3,38,72,29280,120
3,46,72,29400,120
2,60,72,29520,240
3,46,72,29520,120
3,46,72,29640,120
1,79,72,29760,480
2,65,72,29760,240
3,46,72,29760,120
3,35,72,29760,120
3,46,72,29880,120
2,60,72,30000,240
3,46,72,30000,120
3,46,72,30120,120
1,77,72,30240,480
2,57,72,30240,240
3,46,72,30240,120
3,38,72,30240,120
3,46,72,30360,120
2,60,72,30480,240
3,46,72,30480,120
3,46,72,30600,120
2,65,72,30720,240
3,46,72,30720,120
3,35,72,30720,120
3,46,72,30840,120
2,62,72,30960,240
3,46,72,30960,120
3,46,72,31080,120
1,77,72,31200,480
