track,note,start,end
3,35,79680,80160
3,44,80160,80640
3,41,80160,80640
3,35,80160,80640
2,40,80640,81360
3,44,80640,81120
3,41,80640,81120
3,35,80640,81120
3,44,81120,81600
3,41,81120,81600
3,35,81120,81600
2,40,81360,81480
2,43,81600,81720
3,44,81600,82080
3,41,81600,82080
3,35,81600,82080
2,40,81960,82080
3,44,82080,82560
3,41,82080,82560
3,35,82080,82560
2,38,82320,82560
2,36,82560,83520
3,44,82560,83040
3,41,82560,83040
3,35,82560,83040
3,44,83040,83520
3,41,83040,83520
3,35,83040,83520
2,35,83520,84480
3,44,83520,84000
3,41,83520,84000
3,35,83520,84000
3,44,84000,84480
3,41,84000,84480
3,35,84000,84480
2,40,84480,85200
3,44,84480,84960
3,41,84480,84960
3,35,84480,84960
3,44,84960,85440
3,41,84960,85440
3,35,84960,85440
2,40,85200,85320
2,43,85440,85560
3,44,85440,85920
3,41,85440,85920
3,35,85440,85920
2,40,85800,85920
3,44,85920,86400
3,41,85920,86400
3,35,85920,86400
2,38,86160,86400
2,36,86400,87360
3,44,86400,86880
3,41,86400,86880
3,35,86400,86880
3,44,86880,87360
3,41,86880,87360
3,35,86880,87360
2,35,87360,88320
3,44,87360,87840
3,41,87360,87840
3,35,87360,87840
3,44,87840,88320
3,41,87840,88320
3,35,87840,88320
2,40,88320,89040
3,44,88320,88800
3,41,88320,88800
3,35,88320,88800
3,44,88800,89280
3,41,88800,89280
3,35,88800,89280
2,40,89040,89160
2,43,89280,89400
3,44,89280,89760
3,41,89280,89760
3,35,89280,89760
2,40,89640,89760
3,44,89760,90240
3,41,89760,90240
3,35,89760,90240
2,38,90000,90240
2,36,90240,91200
3,44,90240,90720
3,41,90240,90720
3,35,90240,90720
3,44,90720,91200
3,41,90720,91200
3,35,90720,91200
2,35,91200,92160
3,44,91200,91680
3,41,91200,91680
3,35,91200,91680
3,44,91680,92160
3,41,91680,92160
3,35,91680,92160
2,40,92160,92880
3,44,92160,92640
3,41,92160,92640
3,35,92160,92640
3,44,92640,93120
3,41,92640,93120
3,35,92640,93120
2,40,92880,93000
2,43,93120,93240
3,44,93120,93600
3,41,93120,93600
3,35,93120,93600
2,40,93480,93600
3,44,93600,94080
3,41,93600,94080
3,35,93600,94080
2,38,93840,94080
2,36,94080,95040
3,44,94080,94560
3,41,94080,94560
3,35,94080,94560
3,44,94560,95040
3,41,94560,95040
3,35,94560,95040
2,35,95040,96000
3,44,95040,95520
3,41,95040,95520
3,35,95040,95520
3,44,95520,96000
3,41,95520,96000
3,35,95520,96000
2,40,96000,96720
3,44,96000,96480
3,41,96000,96480
3,35,96000,96480
3,44,96480,96960
3,41,96480,96960
3,35,96480,96960
2,40,96720,96840
2,43,96960,97080
3,44,96960,97440
3,41,96960,97440
3,35,96960,97440
2,40,97320,97440
3,44,97440,97920
3,41,97440,97920
3,35,97440,97920
2,38,97680,97920
2,36,97920,98880
3,44,97920,98400
3,41,97920,98400
3,35,97920,98400
3,44,98400,98880
3,41,98400,98880
3,35,98400,98880
2,35,98880,99840
